NWCG_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE
Tennessee Division of Forestry,2008.0,7/19/2008 0:00,201.0,1305.0,Human,Recreation and ceremony,7/19/2008 0:00,201.0,1500.0,2.0,B,35.559020000000004,-84.91865,PRIVATE,TN
Cherokee National Forest,1997.0,4/11/1997 0:00,101.0,2000.0,Human,Recreation and ceremony,4/11/1997 0:00,101.0,2045.0,0.2,A,36.01833333,-82.75333333,USFS,TN
Oklahoma Division of Forestry,2003.0,10/31/2003 0:00,304.0,1815.0,Human,Arson/incendiarism,10/31/2003 0:00,304.0,1815.0,30.0,C,36.14566666,-94.59950002,PRIVATE,OK
Florida Forest Service,2017.0,5/2/2017 0:00,122.0,1615.0,Natural,Natural,5/2/2017 0:00,122.0,1806.0,3.6,B,29.0387,-81.4609,UNDEFINED FEDERAL,FL
Colville National Forest,2010.0,8/11/2010 0:00,223.0,1541.0,Natural,Natural,8/11/2010 0:00,223.0,1745.0,0.1,A,48.726388899999996,-117.598056,USFS,WA
"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",1995.0,9/12/1995 0:00,255.0,1100.0,Natural,Natural,9/12/1995 0:00,255.0,1200.0,0.1,A,41.35333333,-106.27166670000001,USFS,WY
Arizona Department of Forestry and Fire Management - State Office,1993.0,3/6/1993 0:00,65.0,1014.0,Human,Smoking,3/6/1993 0:00,65.0,1233.0,0.5,B,31.97260171,-110.4445534,MISSING/NOT SPECIFIED,AZ
Fire Department of New York,2005.0,4/16/2005 0:00,106.0,2006.0,Human,Missing data/not specified/undetermined,4/16/2005 0:00,106.0,2006.0,0.46,B,41.56262482,-74.19332144,MISSING/NOT SPECIFIED,NY
Washington State Fire Marshal's Office,2011.0,8/6/2011 0:00,218.0,845.0,Human,Other causes,8/6/2011 0:00,218.0,1115.0,0.11,A,48.13077,-117.80955,PRIVATE,WA
Kentucky Division of Forestry,2010.0,3/30/2010 0:00,89.0,2000.0,Human,Debris and open burning,3/30/2010 0:00,89.0,2000.0,2.0,B,36.63187,-84.04408000000001,MISSING/NOT SPECIFIED,KY
Georgia Forestry Commission,2000.0,10/17/2000 0:00,291.0,1402.0,Human,Debris and open burning,10/17/2000 0:00,291.0,1402.0,0.23,A,32.0988,-84.7623,PRIVATE,GA
Minnesota Department of Natural Resources,2017.0,10/19/2017 0:00,292.0,2035.0,Human,Arson/incendiarism,10/19/2017 0:00,292.0,2108.0,0.1,A,48.87460122,-96.66798589,MISSING/NOT SPECIFIED,MN
Ashley National Forest,2006.0,6/28/2006 0:00,179.0,1030.0,Natural,Natural,7/1/2006 0:00,182.0,2000.0,71.5,C,40.84833333,-109.79333329999999,USFS,UT
Mississippi Forestry Commission,2014.0,3/26/2014 0:00,85.0,1625.0,Human,Debris and open burning,3/26/2014 0:00,85.0,2011.0,30.0,C,31.598603000000004,-90.61357155,PRIVATE,MS
Wisconsin Department of Natural Resources,1995.0,7/10/1995 0:00,191.0,1330.0,Human,Smoking,7/10/1995 0:00,191.0,1342.0,0.05,A,46.8227836,-90.8389886,MISSING/NOT SPECIFIED,WI
New Mexico State Forestry Division,2009.0,8/14/2009 0:00,226.0,1600.0,Natural,Natural,8/14/2009 0:00,226.0,1600.0,53.1,C,33.7884,-103.0931,PRIVATE,NM
Chugach National Forest,1996.0,5/5/1996 0:00,126.0,1600.0,Human,Recreation and ceremony,5/7/1996 0:00,128.0,1600.0,50.0,C,60.505,-145.3116667,STATE OR PRIVATE,AK
Fire Department of New York,2006.0,4/18/2006 0:00,108.0,1513.0,Human,Missing data/not specified/undetermined,4/18/2006 0:00,108.0,1513.0,0.64,B,42.11020186,-76.07427019,MISSING/NOT SPECIFIED,NY
Florida Forest Service,2004.0,2/19/2004 0:00,50.0,1200.0,Human,Debris and open burning,2/19/2004 0:00,50.0,1659.0,10.0,C,26.92166998,-81.42416002,PRIVATE,FL
"Northwest District, Grand Junction",2008.0,7/23/2008 0:00,205.0,2002.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,7/23/2008 0:00,205.0,2200.0,0.1,A,39.3603,-108.3708,BLM,CO
